device_name,description,description_vi
lock.filing_room,Filing Room Lock,Phòng nộp phòng
lock.front_gate,Front Gate Lock,Khóa cổng trước
lock.garden_gate,Garden gate lock,Khóa cổng vườn
lock.greenhouse,Greenhouse Lock,Khóa nhà kính
lock.gym,Home Gym Lock,Khóa phòng tập thể dục tại nhà
lock.hallway_closet,Hallway Closet Lock,Khóa tủ quần áo hành lang
lock.home_theater,Home Theater Lock,Khóa nhà hát tại nhà
lock.kennel,Animal Kennel Lock,Khóa cũi động vật
lock.kitchen_door,Kitchen entry lock,Khóa nhập cảnh
lock.laundry_room,Laundry Room Lock,Khóa phòng giặt
lock.living_room,Living Room Lock,Khóa phòng khách
lock.loft,Loft Lock,Khóa gác xép
lock.mudroom,Mudroom Lock,Khóa phòng bùn
lock.music_room,Music Room Lock,Khóa phòng âm nhạc
lock.office_cabinet,Office cabinet lock,Khóa tủ văn phòng
lock.pantry,Pantry Lock,Khóa phòng đựng thức ăn
lock.playroom,Playroom Lock,Khóa phòng chơi
lock.porch_door,Porch door lock,Khóa cửa hiên
lock.rear_gate,Rear gate lock,Khóa cổng phía sau
lock.rooftop_door,Rooftop access lock,Khóa truy cập trên sân thượng
lock.sauna,Sauna Door Lock,Khóa cửa phòng tắm
lock.secure_storage,Secure storage lock,Khóa lưu trữ an toàn
lock.service_entrance,Service entrance lock,Khóa vào dịch vụ
lock.side_door,Side entry lock,Khóa nhập bên
lock.side_gate,Side gate lock,Khóa cổng bên
lock.ski_storage,Ski Storage Lock,Khóa lưu trữ trượt tuyết
lock.stair_gate,Staircase gate lock,Khóa cổng cầu thang
lock.storage_room,Storage Room Lock,Khóa phòng lưu trữ
lock.studio,Studio Lock,Khóa studio
lock.sunroom,Sunroom Lock,Khóa phòng tắm nắng
lock.terrace_door,Terrace door lock,Khóa cửa sân thượng
lock.vehicle_gate,Vehicle gate lock,Khóa cổng xe
lock.walk_in_closet,Walk-In Closet Lock,Khóa tủ quần áo không cửa
lock.workshop,Workshop Lock,Khóa hội thảo
lock.workshop_cabinet,Workshop cabinet lock,Khóa tủ hội thảo
lock.yard_shed,Yard Shed Lock,Yard Shed Lock
media_player.apple_tv,Apple TV media player,Apple TV Media Player
media_player.basement,Basement Media Player,Người chơi phương tiện tầng hầm
media_player.bose_bedroom,Bose Bedroom,Phòng ngủ Bose
media_player.bose_living,Bose Living Room,Phòng khách Bose
media_player.chrome_cast_bedroom,Bedroom Chromecast,Chromecast phòng ngủ
media_player.chromecast,Chromecast Media,Phương tiện truyền thông Chromecast
media_player.echo_dot,Kitchen Echo Dot,Bếp Echo Dot
media_player.fire_tv_stick,Fire TV Stick,Fire TV Stick
media_player.fire_tv,Fire TV Media,Phương tiện truyền hình lửa
media_player.garage,Garage Media Player,Người chơi phương tiện nhà để xe
media_player.guest_room,Guest Room Media,Phương tiện truyền thông phòng khách
media_player.home_theater,Home Theater Media,Phương tiện truyền thông tại nhà
media_player.ipad_kitchen,Kitchen iPad,Ipad nhà bếp
media_player.kitchen,Kitchen Media Player,Trình phát phương tiện nhà bếp
media_player.laptop_stream,Streaming laptop,Phát trực tuyến máy tính xách tay
media_player.living_room,Living Room Media,Phương tiện truyền thông phòng khách
media_player.master_bedroom,Master Bedroom Media,Phương tiện truyền thông phòng ngủ chính
media_player.nintendo_switch,Nintendo Switch,Công tắc Nintendo
media_player.nursery,Nursery Media Player,Người chơi truyền thông mẫu giáo
media_player.office,Office Media Player,Người chơi truyền thông văn phòng
media_player.patio,Patio Media Player,Player Media patio
media_player.ps5_living_room,Living room PS5,Phòng khách PS5
media_player.roku_bedroom,Roku Master Bedroom,Phòng ngủ chính của Roku
media_player.roku_bedroom,Bedroom Roku player,Người chơi Roku phòng ngủ
media_player.roku_living,Roku Living Room,Phòng khách Roku
media_player.samsung_tv,Living room TV,TV phòng khách
media_player.sonos_bedroom,Sonos Master Bedroom,Phòng ngủ chính của Sonos
media_player.sonos_kitchen,Sonos Kitchen,Sonos Kitchen
media_player.sonos_kitchen,Kitchen Sonos speaker,Loa Sonos nhà bếp
media_player.sonos_living,Sonos Living Room,Phòng khách Sonos
media_player.soundbar_living_room,Living room soundbar,Soundbar phòng khách
media_player.xbox_den,Den Xbox console,Bảng điều khiển Den Xbox
media_player.sony_bravia_tv,Sony Smart LED TV,Sony Smart LED TV
media_player.samsung_qled_tv,Samsung Quantum Dot TV,Samsung Quantum Dot TV
media_player.lg_oled_tv,LG OLED Television,Truyền hình OLED LG
media_player.panasonic_4k_bluray_player,Panasonic Blueray Player,Người chơi Panasonic Blueray
media_player.denon_av_receiver,Denon Audio-Video Receiver,Máy thu Video Denon Audio
media_player.onkyo_tx_sr,Onkyo Home Theater Receiver,Máy thu nhà hát tại nhà Onkyo
media_player.google_nest_hub,Google Assistant Smart Display,Hiển thị thông minh của Google Assistant
media_player.amazon_echo_show,Amazon Echo Smart Screen,Amazon Echo Smart Màn hình
media_player.apple_tv_4k,Apple 4K Streaming Device,Thiết bị phát trực tuyến Apple 4K
media_player.roku_ultra,Roku High-Performance Streamer,Streamer hiệu suất cao Roku
media_player.xbox_one,Xbox One,Xbox One
media_player.playstation_5,Sony PS5,Sony PS5
media_player.joes_ps5,Joe's PS5,Joe's PS5
media_player.nintendo_switch_dock,Nintendo Console Dock,Nintendo Console Dock
media_player.sony_4k_projector,Sony Home Cinema Projector,Máy chiếu phim Sony Home
media_player.epson_home_cinema,Epson Video Projector,Máy chiếu video Epson
media_player.bose_home_speaker,Bose Wireless Speaker,Loa không dây Bose
media_player.sonos_beam,Sonos Compact Soundbar,Sonos Compact Soundbar
media_player.harman_kardon_aura,Harman Kardon Glass Speaker,Loa Harman Kardon Glass
media_player.bang_olufsen_beovision,B&O High-End Television,B & O truyền hình cao cấp
media_player.philips_ambilight_tv,Philips LED Backlit TV,Philips LED Backlit TV
media_player.vizio_smartcast_tv,Vizio Cast-Enabled TV,TV hỗ trợ diễn viên Vizio
media_player.sony_ps_lx310bt,Sony Bluetooth Turntable,Bàn xoay Sony Bluetooth
media_player.audio_technica_at_lp120,Audio-Technica Record Player,Máy ghi âm Audio-Technica
media_player.samsung_hw_q90r,Samsung Surround Soundbar,SAMSUNG SURVER SOUGHBAR
media_player.sonos_arc,Sonos Smart Soundbar,Sonos Smart Soundbar
media_player.home_theater_system_living_room,Living Room Home Theater,Phòng khách Nhà hát tại nhà
media_player.desktop_computer_media_suite,Desktop Computer Media Center,Trung tâm truyền thông máy tính
media_player.wall_mounted_tv_bedroom,Bedroom Wall-Mounted TV,TV treo tường phòng ngủ
media_player.kitchen_radio,Kitchen Radio Player,Máy nghe nhạc nhà bếp
media_player.bathroom_speaker_system,Waterproof Bathroom Speaker,Loa phòng tắm không thấm nước
media_player.garage_workshop_stereo,Garage Workshop Stereo,Hội thảo nhà để xe âm thanh nổi
media_player.patio_outdoor_speakers,Patio Outdoor Speakers,Diễn giả ngoài trời
media_player.basement_projector_setup,Basement Projector System,Hệ thống máy chiếu tầng hầm
media_player.office_pc_speakers,Office Computer Speakers,Loa máy tính văn phòng
media_player.bedside_alarm_clock_radio,Bedside Alarm Clock Radio,Đài phát thanh đồng hồ báo thức giường ngủ
media_player.gaming_room_console,Gaming Room Console,Bảng điều khiển phòng chơi game
media_player.lounge_hi_fi_system,Lounge Hi-Fi Audio,Phòng chờ âm thanh hi-fi
media_player.dining_room_jukebox,Dining Room Jukebox,Phòng ăn tự động
media_player.guest_room_tv_set,Guest Room Television,Truyền hình phòng khách
media_player.study_room_audio_book_player,Study Audio Book Player,Nghiên cứu trình phát Sổ âm thanh
media_player.sunroom_cd_player,Sunroom CD Player,Máy nghe nhạc CD Sunroom
media_player.attic_vinyl_turntable,Attic Vinyl Record Player,Máy phát ghi Vinyl Attic
media_player.backyard_outdoor_projector,Backyard Projector,Máy chiếu sân sau
media_player.entryway_voice_assistant,Entryway Voice Assistant,Trợ lý giọng nói của lối vào
media_player.hallway_wall_speaker,Hallway Wall Speaker,Loa tường hành lang
switch.attic_lights,Attic Lights Switch,Công tắc đèn gác mái
switch.balcony_lighting,Balcony lighting control,Kiểm soát ánh sáng ban công
switch.basement_lights,Basement Lights Switch,Công tắc đèn tầng hầm
switch.bathroom_fan,Bathroom Fan Switch,Công tắc quạt phòng tắm
switch.bedroom_lights,Bedroom Lights Switch,Công tắc đèn phòng ngủ
switch.boathouse_lights,Boathouse Lights Switch,Công tắc đèn Boathouse
switch.closet_lighting,Closet lighting control,Điều khiển ánh sáng tủ quần áo
switch.conservatory_lights,Conservatory Lights Switch,Công tắc đèn
switch.deck_lights,Deck Lighting Switch,Công tắc ánh sáng boong
switch.den_lights,Den Lights Switch,Công tắc đèn den
switch.dining_room_lights,Dining Room Lights Switch,Công tắc đèn phòng ăn
switch.driveway_lights,Driveway lighting control,Kiểm soát ánh sáng đường lái xe
switch.front_gate_lighting,Front gate lights switch,Công tắc đèn trước
switch.front_yard_lights,Front Yard Lights Switch,Công tắc đèn sân trước
switch.garage_door_opener,Garage Door Opener Switch,Công tắc mở cửa nhà để xe
switch.garden_lights,Garden lighting control,Kiểm soát ánh sáng vườn
switch.guest_room_lights,Guest Room Lights Switch,Công tắc đèn phòng khách
switch.hallway_lights,Hallway Lights Switch,Công tắc đèn hành lang
switch.home_theater_lighting,Home theater lights control,Kiểm soát đèn nhà hát tại nhà
switch.kitchen_lights,Kitchen Lights Switch,Công tắc đèn bếp
switch.laundry_room_lights,Laundry Room Lights Switch,Công tắc đèn phòng giặt
switch.living_room_lights,Living Room Lights Switch,Công tắc đèn phòng khách
switch.loft_lights,Loft Lights Switch,Công tắc đèn gác xép
switch.master_bedroom_lights,Master Bedroom Lights Switch,Công tắc đèn phòng ngủ chính
switch.office_lights,Office Lights Switch,Công tắc đèn văn phòng
switch.outdoor_security_lights,Outdoor Security Lights Switch,Công tắc đèn an ninh ngoài trời
switch.pantry_lights,Pantry Lights Switch,Công tắc đèn phòng đựng thức ăn
switch.patio_lights,Patio Lights Switch,Công tắc đèn sân
switch.playroom_lights,Playroom Lights Switch,Công tắc đèn phòng chơi
switch.pool_area_lighting,Pool area lighting control,Kiểm soát ánh sáng khu vực hồ bơi
switch.porch_lights,Porch Lights Switch,Công tắc đèn hiên nhà
switch.rear_yard_lights,Rear Yard Lights Switch,Đèn sân sau công tắc
switch.sauna_lights,Sauna Lights Switch,Công tắc đèn phòng tắm
switch.security_system,Security system switch,Công tắc hệ thống bảo mật
switch.shed_lights,Shed Lights Switch,Đèn chiếu sáng công tắc
switch.stairway_lights,Stairway Lights Switch,Công tắc đèn cầu thang
switch.study_room_lights,Study Room Lights Switch,Nghiên cứu công tắc đèn phòng
switch.sunroom_lights,Sunroom Lights Switch,Công tắc đèn Sunroom
switch.terrace_lighting,Terrace lighting control,Kiểm soát ánh sáng sân thượng
switch.under_cabinet_lights,Under Cabinet Lights Switch,Dưới công tắc đèn tủ
switch.utility_room_lights,Utility Room Lights Switch,Công tắc đèn phòng tiện ích
switch.walkway_lights,Walkway Lights Switch,Công tắc đèn đi bộ
switch.warehouse_lights,Warehouse Lights Switch,Công tắc đèn kho
switch.water_feature_lights,Water Feature Lights Switch,Công tắc đèn tính năng nước
switch.workshop_lights,Workshop Lights Switch,Công tắc đèn hội thảo
switch.yard_floodlights,Yard Floodlights Switch,Công tắc đèn pha
switch.zoo_enclosure_lighting,Zoo enclosure lighting control,Điều khiển ánh sáng bao vây vườn thú
switch.pool_pump,Pool Pump Switch,Công tắc bơm hồ bơi
switch.irrigation_system,Irrigation System Switch,Công tắc hệ thống tưới
switch.garage_workshop_lights,Garage Workshop Lights Switch,Công tắc đèn hội thảo nhà để xe
climate.nest_learning,Nest Learning Thermostat,Tổ tổ học nhiệt
climate.ecobee_smart,Ecobee SmartThermostat,Ecobee Smartthermostat
climate.honeywell_lyric_t6,Honeywell Lyric T6 Pro,Honeywell Lyric T6 Pro
climate.emerson_sensi_touch,Emerson Sensi Touch Wi-Fi Thermostat,Emerson Sensi Touch Wi-Fi Thermostat
climate.bosch_bcc100,Bosch BCC100 Connected Control,Bosch BCC100 Control Control
climate.johnson_glas,Johnson Controls GLAS Smart Thermostat,Johnson điều khiển bộ điều chỉnh nhiệt thông minh Glas
climate.thermostat_lux_geo,Lux Geo Wi-Fi Thermostat,Thermostat Lux Geo-Fi
climate.tado_smart,Tado Smart Thermostat,Tado Smart Thermostat
climate.trane_comfortlink_ii,Trane ComfortLink II XL1050,Trane ComfortLink II XL1050
climate.carrier_cor,Carrier Cor Wi-Fi Thermostat,Máy điều nhiệt Wi-Fi của Carrier Cor
climate.netatmo_smart,Netatmo Smart Thermostat,Netatmo Smart Thermostat
climate.sinope_smart,Sinopé Smart Thermostat,Sinopé Smart Thermostat
climate.kono_thermostat,Kono Smart Thermostat,Kono Smart Thermostat
climate.mysa_smart_thermostat,Mysa Smart Thermostat for Electric Baseboard Heaters,Mysa Smart Thermostat cho máy sưởi máy bay điện
climate.zen_wifi_thermostat,Zen Thermostat WiFi Edition,Zen Thermostat WiFi Edition
vacuum.living_room_roomba,Living room vacuum,Phòng khách chân không
vacuum.kitchen_xiaomi,Kitchen vacuum,Máy hút bụi nhà bếp
vacuum.upstairs_dyson,Upstairs dust buster,Trên lầu bụi buster
vacuum.basement_deebot,Basement deebot,Tầng hầm Debot
vacuum.master_bedroom_shark,Master bedroom vacuum,Phòng ngủ chính
vacuum.garage_roomba_2,Garage cleaning bot,Bot làm sạch nhà để xe
vacuum.under_sofa_cleaner,Under sofa cleaner,Dưới ghế sofa sạch hơn
vacuum.dining_area_bissel,Dining area dirt remover,Khu vực ăn uống bụi bẩn
vacuum.hallway_neato,Hallway path cleaner,Đường dẫn hành lang
vacuum.entryway_eufy,Entryway dust collector,Bộ thu bụi nhập cảnh
vacuum.patio_doorway_vac,Patio doorway cleaner,Sức sạch cửa hiên
vacuum.left_corner_bot,Left corner dirt sucker,Bên trái Bỏ hút bụi bẩn
vacuum.right_stairwell_sweeper,Right stairwell cleaner,Người dọn dẹp cầu thang phải
vacuum.upstairs_bathroom_vac,Upstairs bathroom helper,Người trợ giúp phòng tắm trên lầu
vacuum.downstairs_guest_room,Downstairs guest room vac,Phòng khách ở tầng dưới VAC
vacuum.smart_home_automator,Smart home cleaning bot,Bot dọn dẹp nhà thông minh
vacuum.above_stairs_robot,Above stairs dusting device,Thiết bị bụi trên cầu thang
vacuum.under_bed_cleaner,Under bed dust collector,Dưới bộ sưu tập bụi trên giường
vacuum.front_hall_samsung,Front hall sweeping bot,Sảnh trước bot quét
vacuum.back_deck_sweeper,Back deck area cleaner,Back Boong Area Cleaner
todo.daily_chores_list,Daily chores tracker,Trình theo dõi công việc hàng ngày
todo.grocery_shopping_list,Grocery shopping organizer,Tổ chức mua sắm tạp hóa
todo.weekend_projects,Weekend DIY projects list,Danh sách dự án DIY cuối tuần
todo.family_event_planner,Family event planner,Kế hoạch sự kiện gia đình
todo.workout_routine_tracker,Workout routine scheduler,Lập lịch tập luyện thường xuyên
todo.kids_homework_deadlines,Kids homework deadlines,Thời hạn làm bài tập về nhà trẻ em
todo.pet_vaccination_schedule,Pet vaccination scheduler,Lập lịch tiêm chủng PET
todo.car_maintenance_log,Car maintenance tracker,Trình theo dõi bảo trì xe hơi
todo.birthday_reminder_list,Birthday reminder list,Danh sách nhắc nhở sinh nhật
todo.anniversary_planner,Anniversary event planner,Kế hoạch sự kiện kỷ niệm
todo.vacation_planning,Vacation planning assistant,Trợ lý kế hoạch kỳ nghỉ
todo.book_reading_list,Reading list organizer,Đọc danh sách tổ chức
todo.movie_watchlist,Movie night watchlist,Danh sách xem đêm phim
todo.recipe_collection,Recipe collection,Bộ sưu tập công thức
todo.home_renovation_planner,Home renovation scheduler,Lập lịch cải tạo nhà
todo.garden_care_schedule,Garden care planner,Người lập kế hoạch chăm sóc vườn
todo.bill_payment_reminders,Bill payment reminders,Lời nhắc thanh toán hóa đơn
todo.insurance_renewal_alerts,Insurance renewal alerts,Cảnh báo gia hạn bảo hiểm
todo.subscription_management,Subscription management tool,Công cụ quản lý đăng ký
todo.warranty_tracker,Warranty expiration tracker,Bộ theo dõi hết hạn bảo hành
timer.kitchen_oven,Kitchen oven timer,Hẹn giờ lò nướng bếp
timer.laundry_machine_1,Laundry cycle tracker,Máy theo dõi Chu kỳ giặt
timer.garden_watering,Garden watering scheduler,Lập lịch tưới vườn
timer.front_porch_lights,Front porch light timer,Hàng hẹn nhẹ hiên trước
timer.backyard_floodlights,Backyard floodlight controller,Bộ điều khiển đèn chiếu sáng sân sau
timer.garage_door_1,Garage door timer,Bộ hẹn giờ cửa nhà để xe
timer.bedroom_lamp_timer,Bedroom lamp scheduler,Lập lịch đèn phòng ngủ
timer.dining_room_dimmer,Dining room light timer,Phòng ăn hẹn giờ đèn
timer.upstairs_hallway,Upstairs hallway timer,TIMER HALLWAY TRÊN TRÁI CÂY
timer.downstairs_closet_light,Downstairs closet timer,TIMER TUYỆT VỜI TUYỆT VỜI TUYỆT VỜI
timer.entryway_chandelier,Entryway chandelier timer,Đồng hồ Đèn chùm nhập cảnh
timer.patio_lighting,Patio ambiance timer,Hẹn giờ bầu không khí sân trong
timer.driveway_security_lights,Driveway security timer,Hẹn giờ bảo mật đường lái xe
timer.kids_room_nightlight,Kids room nightlight timer,Bộ hẹn giờ đèn ngủ phòng trẻ em
timer.timer0,General purpose timer,Hẹn giờ mục đích chung
timer.timer7,Custom timer 7,Hẹn giờ tùy chỉnh 7
timer.my_timer,Personalized timer,Hẹn giờ được cá nhân hóa
timer.kitchen_timer,Kitchen countdown,Đếm ngược nhà bếp
timer.laundry_countdown,Laundry cycle timer,Hẹn giờ giặt
timer.morning_alarm,Morning wakeup alarm,Báo thức thức dậy buổi sáng
timer.workout_timer,Exercise session timer,Hẹn giờ tập thể dục
timer.study_session,Study focus timer,Nghiên cứu hẹn giờ tập trung
timer.meditation_clock,Meditation duration tracker,Thiền thời gian theo dõi
timer.baby_nap_timer,Baby nap monitor,Màn hình ngủ trưa
timer.tea_steeping,Tea steeping countdown,Tea Steeping Countdown
timer.game_timer,Board game timer,Hẹn giờ trò chơi
timer.morning_coffee,Morning coffee brew timer,Hẹn giờ bia buổi sáng
