device_name,english_phrase,service_name,english_phrase_vi
switch.wemo_laundry_room,Turn on the laundry room lights.,turn_on,Bật đèn phòng giặt.
switch.kasa_living_room,Toggle the living room lights.,toggle,Chuyển đổi đèn phòng khách.
switch.radiant_office,Turn off the office lights.,turn_off,Tắt đèn văn phòng.
switch.caseta_hallway_2,Turn on the second hallway lights.,turn_on,Bật đèn hành lang thứ hai.
switch.z_wave_guest_bathroom,Turn off the guest bathroom fan.,turn_off,Tắt quạt phòng tắm của khách.
switch.home_office_dimmer,Toggle the home office dimmer.,toggle,Chuyển đổi bộ làm mờ văn phòng tại nhà.
switch.security_camera_light,Turn on the security camera light.,turn_on,Bật đèn camera an ninh.
switch.patio_heater_switch,Turn off the patio heater.,turn_off,Tắt lò sưởi hiên.
switch.kitchen_under_cabinet,Toggle the kitchen under cabinet lights.,toggle,Chuyển đổi nhà bếp dưới đèn tủ.
switch.hallway_dimmer,Could you dim the hallway lights?,turn_on,Bạn có thể làm mờ đèn hành lang không?
switch.kitchen_fan,Please turn off the kitchen fan.,turn_off,Vui lòng tắt quạt nhà bếp.
switch.garden_spotlights,Activate the garden spotlights.,turn_on,Kích hoạt đèn sân vườn.
switch.poolside_lanterns,Deactivate the poolside lanterns.,turn_off,Vô hiệu hóa đèn lồng bên hồ bơi.
switch.front_porch_sensor,Engage the front porch sensor light.,turn_on,Tham gia ánh sáng cảm biến hiên trước.
switch.backyard_floodlight,Can you shut off the backyard floodlight?,turn_off,Bạn có thể tắt đèn pha sân sau không?
switch.staircase_light_strip,Could you light up the staircase light strip?,turn_on,Bạn có thể thắp sáng dải ánh sáng cầu thang không?
switch.laundry_area,Please switch off the laundry area lights.,turn_off,Vui lòng tắt đèn khu vực giặt.
switch.office_desk_lamp,Illuminate the desk lamp in my office.,turn_on,Chiếu sáng đèn bàn trong văn phòng của tôi.
switch.basement_sconces,Can we turn down the basement sconces?,turn_off,Chúng ta có thể từ chối các tầng hầm không?
switch.library_ceiling,Engage the ceiling lights in the library.,turn_on,Tham gia đèn trần trong thư viện.
switch.sunroom_blinds,"I'd like the sunroom blinds closed, please.",turn_off,"Tôi muốn rèm phòng tắm nắng, xin vui lòng."
switch.guest_bathroom,"Light up the guest bathroom, please.",turn_on,Vui lòng thắp sáng phòng tắm của khách.
switch.patio_string_lights,Switch off the string lights on the patio.,turn_off,Tắt đèn dây trên hiên.
switch.kitchen_island,Disable the kitchen island lights.,turn_off,Tắt đèn đảo bếp.
switch.entryway_chandelier,Illuminate the entryway chandelier.,turn_on,Chiếu sáng đèn chùm lối vào.
switch.garage_worklight,Can we power down the garage worklight?,turn_off,Chúng ta có thể cung cấp năng lượng cho đèn làm việc nhà để xe không?
switch.bedroom_track_lighting,Brighten the bedroom track lighting.,turn_on,Làm sáng ánh sáng theo dõi phòng ngủ.
switch.home_cinema,Please turn off the home cinema lights.,turn_off,Vui lòng tắt đèn rạp chiếu phim gia đình.
switch.balcony_mood_lighting,Activate the mood lighting on the balcony.,turn_on,Kích hoạt ánh sáng tâm trạng trên ban công.
switch.dining_room_dimmer,Set the dining room lights to off.,turn_off,Đặt đèn phòng ăn để tắt.
switch.playroom_nightlight,Can you turn on the playroom nightlight?,turn_on,Bạn có thể bật đèn ngủ phòng chơi không?
switch.art_studio_spots,Please disable the art studio spotlights.,turn_off,Vui lòng vô hiệu hóa các phòng thu nghệ thuật.
switch.foyer_wall_sconce,Light up the foyer wall sconce.,turn_on,Thắp sáng các bức tường sảnh.
switch.back_entry,Shut down the back entry lights.,turn_off,Tắt đèn sau.
switch.corridor_track,Brighten up the corridor track lights.,turn_on,Làm sáng lên các đèn theo dõi hành lang.
switch.veranda_fairy_lights,"Switch off the veranda fairy lights, please.",turn_off,Xin vui lòng tắt đèn Fairy Fairy.
switch.master_suite,Set the master suite to nighttime mode.,turn_on,Đặt bộ tổng thể thành chế độ ban đêm.
switch.walk_in_closet,Disable the walk-in closet lights.,turn_off,Tắt đèn tủ quần áo không cửa.
switch.roof_deck,Engage the roof deck lighting.,turn_on,Tham gia ánh sáng sàn mái.
switch.bathroom_mirror,Can you turn off the bathroom mirror light?,turn_off,Bạn có thể tắt đèn gương phòng tắm không?
switch.storage_room,Please power down the storage room lights.,turn_off,Vui lòng cung cấp năng lượng cho đèn phòng lưu trữ.
switch.wine_cellar,Illuminate the wine cellar.,turn_on,Chiếu sáng hầm rượu.
switch.conservation_area,Deactivate the conservation area lighting.,turn_off,Vô hiệu hóa ánh sáng khu vực bảo tồn.
switch.gym_ceiling,Light up the gym ceiling lights.,turn_on,Thắp sáng đèn trần phòng tập thể dục.
switch.hobby_room,Could we turn off the hobby room lights?,turn_off,Chúng ta có thể tắt đèn phòng sở thích không?
switch.front_lawn,Activate the front lawn spotlights.,turn_on,Kích hoạt đèn chiếu sáng phía trước.
switch.rear_terrace,Can you dim the lights on the rear terrace?,turn_off,Bạn có thể làm mờ đèn trên sân thượng phía sau không?
